month,tprev,tavg,prcp,wspd,pres,pprev,pdiff
2023-03-21 00:00:00,22.8,22.2,1.2,8.8,1010.4,1009.4,
2023-03-22 00:00:00,22.2,22.7,0,8.4,1011.1,1010.4,
2023-03-23 00:00:00,22.7,23.3,0,8.5,1011,1011.1,
2023-03-24 00:00:00,23.3,23.9,0,8.2,1011,1011,
2023-03-25 00:00:00,23.9,23.6,0,7.8,1011.7,1011,
2023-03-26 00:00:00,23.6,23.1,0,7.6,1011.5,1011.7,
2023-03-27 00:00:00,23.1,23.7,0,6.8,1011.3,1011.5,
2023-03-28 00:00:00,23.7,24.3,0,7.3,1010.5,1011.3,
2023-03-29 00:00:00,24.3,25.2,0,7.3,1010.8,1010.5,
2023-03-30 00:00:00,25.2,23.5,0,8.9,1010.7,1010.8,
2023-03-31 00:00:00,23.5,24.2,0,10.1,1010.3,1010.7,
2023-04-01 00:00:00,24.2,24.5,0,8.6,1010.7,1010.3,
2023-04-02 00:00:00,24.5,24.1,0,8.4,1010.3,1010.7,
2023-04-03 00:00:00,24.1,24.5,0,7.9,1009.9,1010.3,
2023-04-04 00:00:00,24.5,26.6,0,6.7,1010.3,1009.9,
2023-04-05 00:00:00,26.6,27.8,0,7.9,1010.2,1010.3,
2023-04-06 00:00:00,27.8,28.3,0,7.5,1010.4,1010.2,
2023-04-07 00:00:00,28.3,27.8,0,7.1,1011.9,1010.4,
2023-04-08 00:00:00,27.8,27.4,0.5,7.7,1014.3,1011.9,
2023-04-09 00:00:00,27.4,26.2,0,6.4,1014.3,1014.3,
2023-04-10 00:00:00,26.2,29.4,7.1,6.6,1012.3,1014.3,
2023-04-11 00:00:00,29.4,28.8,0,8,1012.1,1012.3,
2023-04-12 00:00:00,28.8,29.8,0,7,1011.4,1012.1,
2023-04-13 00:00:00,29.8,29.1,0.1,7.3,1011.5,1011.4,
2023-04-14 00:00:00,29.1,28.9,0,6.4,1011.4,1011.5,
2023-04-15 00:00:00,28.9,26.1,0,6.7,1011.5,1011.4,
2023-04-16 00:00:00,26.1,26.4,4.1,6.1,1010.1,1011.5,
2023-04-17 00:00:00,26.4,27.6,0,6.4,1010.1,1010.1,
2023-04-18 00:00:00,27.6,29.2,0,7.1,1010.6,1010.1,
2023-04-19 00:00:00,29.2,30,0,6.3,1008.4,1010.6,
2023-04-20 00:00:00,30,28.7,0,7.8,1006.6,1008.4,
2023-04-21 00:00:00,28.7,27.1,0,8.4,1007,1006.6,
2023-04-22 00:00:00,27.1,25.8,0,9.8,1007.7,1007,
2023-04-23 00:00:00,25.8,25.9,0,9.2,1007.6,1007.7,
2023-04-24 00:00:00,25.9,27.7,0,7.4,1007.9,1007.6,
2023-04-25 00:00:00,27.7,28.2,0,8.6,1008.1,1007.9,
2023-04-26 00:00:00,28.2,26.9,0,8.7,1008.9,1008.1,
2023-04-27 00:00:00,26.9,26.9,0.1,6.7,1009.1,1008.9,
